SPI1_Pulse_Tidy_logFC	SPI1_Pulse_Tidy_p_value	SPI1_Pulse_Tidy_FDR	gene
-0.455804167	0.017570921	0.296242443	ftnA
-0.53488762	0.018165297	0.303427735	SL1344_0892
-0.451223382	0.019078978	0.315765844	ftsQ
0.423753436	0.020139232	0.330283408	dnaK
0.483256896	0.021438368	0.348421767	flgI
-0.515008704	0.021954685	0.353627255	Spf
0.488340206	0.02253379	0.359742991	argS
-0.537643565	0.022849993	0.360128785	narP
0.610771692	0.022957212	0.360128785	SL1344_3813
0.593490038	0.02315761	0.360140765	SL1344_3289
0.370189427	0.023389697	0.36064113800000003	sdaB
-0.553169078	0.023668513	0.361847439	STnc1275
-0.554945435	0.024553259	0.372219148	SL1344_3587
-0.382728723	0.026097485	0.392332195	SL1344_1737
-0.466378493	0.026561101	0.395181245	GO-10704
-0.422234157	0.026725117	0.395181245	yhdA
-0.416579263	0.027310475	0.39942638	ddl
0.569429729	0.027556751	0.39942638	SL1344_1861
-0.531335967	0.027952737	0.39942638	SL1344_2466
-0.523910848	0.028010292	0.39942638	sapA
0.452635522	0.028607215	0.39942638	fliB
-0.450560203	0.028689716	0.39942638	aas
0.535659773	0.028975219	0.39942638	ilvC
-0.493141874	0.029008108	0.39942638	yadB
-0.447731394	0.029257024	0.39942638	yfeA
-0.467876368	0.029266141	0.39942638	SL1344_2985
0.477398945	0.029447732	0.39942638	prlC
0.432029212	0.030634636	0.410315052	fabI
-0.617545143	0.030860822	0.410315052	suhB
0.461272499	0.031111107	0.410315052	SL1344_0724
0.403896772	0.03126618	0.410315052	atpD
0.402869435	0.031490907	0.410315052	fliZ
0.486819199	0.031615184	0.410315052	SL1344_3545
0.507246466	0.032211547	0.412024104	mdoD
0.536255508	0.032214268	0.412024104	dmsA
-0.486940622	0.032432053	0.412024104	rfaJ
0.473645352	0.032748974	0.413140903	SL1344_1098
0.584356451	0.033379371	0.417632164	RUF_178
-0.456759487	0.033567995	0.417632164	rplU
0.51459477	0.034042363	0.420633028	SL1344_3557
-0.491192461	0.034713402	0.426006646	ugtL
-0.465034184	0.036382483	0.438687736	SL1344_2969
-0.439592301	0.036479726	0.438687736	smpB
-0.523450319	0.036617704	0.438687736	STnc1990
-0.40152336	0.036719428	0.438687736	rpsT
-0.421193096	0.037267216	0.440085389	cca
0.470744249	0.037324315	0.440085389	ansB
0.53447445	0.038608683	0.452273146	mpl
0.354155628	0.039495177	0.459672894	SibC
-0.465764849	0.041304849	0.474272002	rfbP
-0.410717032	0.041488119	0.474272002	RUF_220c
-0.4405508	0.041729087	0.474272002	cpxP
0.513091199	0.041801135	0.474272002	SL1344_2122
-0.49461691	0.042371914	0.476366841	StyR-8
-0.484924255	0.042513892	0.476366841	mioC
0.386406034	0.044429	0.494752566	gapA
0.443884705	0.045235371	0.50064178	SL1344_4421
0.471910138	0.046694334	0.510305938	malT
-0.397372553	0.046994713	0.510305938	stpA
-0.397372553	0.046994713	0.510305938	stpA
0.409237955	0.047185243	0.510305938	nrdB
-0.445783186	0.047240073	0.510305938	SL1344_4400
-0.352870788	0.048264776	0.518271765	SL1344_1365
0.378262174	0.048708896	0.519945846	groEL
-0.354670986	0.049288909	0.521898505	SL1344_3859
-0.448909829	0.049470424	0.521898505	SL1344_1874
0.352054622	0.04994528	0.523844681	SL1344_3254
-0.410172879	0.051357916000000003	0.531610805	tatC
0.345615393	0.051770273	0.531610805	invJ
0.466658684	0.052254369	0.531610805	thrL
-0.380284894	0.052264368	0.531610805	SL1344_1967
-0.422397348	0.05253991	0.531610805	STnc510
0.273725853	0.052710896	0.531610805	Ffs
0.505138701	0.052748522	0.531610805	SL1344_3196
0.332703435	0.05397738	0.539442558	cydA
0.451592836	0.054282689	0.539442558	recO
-0.393904788	0.054482782	0.539442558	pykA
-0.407538626	0.055041161	0.539442558	SL1344_2348
0.407586625	0.055218088	0.539442558	SL1344_2379
-0.440171444	0.055319775	0.539442558	dapB
-0.433711393	0.055797013	0.541171033	mfd
0.477478503	0.056312833	0.543253214	SL1344_0657
0.403763034	0.057047247	0.547410814	accC
0.458428006	0.058538178	0.551701998	tldD
-0.409531581	0.058617009	0.551701998	rfaB
-0.367018682	0.059039912	0.551701998	fldA
-0.351363401	0.059178555	0.551701998	SL1344_1384
-0.424125523	0.059388871	0.551701998	SL1344_1154
-0.459923153	0.05941875	0.551701998	IsrB
-0.433754393	0.059644419	0.551701998	clcA
-0.35445182	0.059977803	0.551701998	rppH
-0.357209782	0.060369084	0.551701998	dnaA
-0.275297459	0.060852398	0.551701998	SL1344_3112
-0.385373216	0.06085848	0.551701998	lgt
0.341678371	0.061218768	0.552193285	SL1344_1582
0.430516538	0.061740558	0.554129191	parE
-0.452086179	0.062492098	0.557897263	yaeA
-0.495257682	0.062948898	0.557897263	mreD
-0.424891239	0.063088161	0.557897263	helD
0.489324999	0.064392938	0.566657859	yrfG
-0.496886373	0.065172134	0.57073073	SL1344_4351
-0.383536348	0.065634278	0.572001147	guaB
-0.364879243	0.066096363	0.57325884	glmU
-0.39733412	0.066685439	0.575600632	SgrS
-0.45107622000000003	0.067610604	0.580807284	yabK
-0.365354816	0.068654597	0.584978435	SL1344_3272
-0.366098283	0.068744694	0.584978435	yifK
-0.33766846700000003	0.070092401	0.592440583	mreB
0.379804157	0.070278428	0.592440583	rplD
0.379520637	0.071229532	0.595859068	SL1344_2615
-0.434877989	0.071344545	0.595859068	crcB
0.264472756	0.073071177	0.604500354	fliD
-0.365479727	0.073352557	0.604500354	rseB
-0.424555267	0.073384466	0.604500354	CsrC
-0.361598832	0.07435647	0.607996083	corE
-0.308756053	0.07448289	0.607996083	SL1344_4230
-0.269064982	0.075150738	0.610684373	sulII
-0.372670777	0.075591875	0.611514543	SL1344_1301
0.424731347	0.076377052	0.615108044	SL1344_1235
-0.3111246	0.078247723	0.627372859	strB
0.306425901	0.080165694	0.630120645	SibD
-0.353725693	0.081338702	0.630120645	ftsW
-0.282472754	0.08165357	0.630120645	SL1344_P3_0002
0.328315533	0.082153447	0.630120645	frr
0.396879215	0.082194312	0.630120645	yejA
0.298591024	0.082208587	0.630120645	uspA
-0.341749661	0.082398185	0.630120645	modA
-0.409268827	0.083176679	0.630120645	SL1344_3812
-0.399573013	0.083501699	0.630120645	asd
0.409299853	0.083711451	0.630120645	SL1344_3285
0.450496476	0.084231179	0.630120645	mobA
0.450496476	0.084231179	0.630120645	mobA
-0.37189463	0.084529007	0.630120645	STnc590
-0.415702549	0.084653818	0.630120645	SL1344_0398
0.404143688	0.08502825	0.630120645	fumA
0.37102282599999997	0.085772423	0.630120645	aceF
0.37785053	0.086167455	0.630120645	SL1344_0942
-0.354114222	0.086227431	0.630120645	SL1344_1568
-0.281994582	0.086310362	0.630120645	rpsP-leader
-0.381839721	0.086767875	0.630120645	plsX
-0.376041846	0.086860002	0.630120645	prfC
0.403710564	0.087093764	0.630120645	rplQ
0.41775415	0.087179663	0.630120645	SL1344_1441
-0.390016155	0.087275661	0.630120645	ybaZ
-0.404735016	0.087426823	0.630120645	mutL
0.322148556	0.087548418	0.630120645	fliM
-0.309813369	0.087671997	0.630120645	ArcZ
-0.373368408	0.088373837	0.630897413	modF
-0.315989598	0.088840802	0.630897413	SL1344_1769
-0.342168479	0.089331449	0.630897413	repA3
0.417169826	0.089500658	0.630897413	glgB
-0.387992875	0.089658562	0.630897413	yiaJ
-0.414563743	0.089878401	0.630897413	uraA
0.436149542	0.090729859	0.634405684	SLnc0035
0.332606213	0.09252439	0.639651301	SL1344_1019
0.388165762	0.092613102	0.639651301	SL1344_0459
-0.425119117	0.092629636	0.639651301	RUF_257c
0.351089045	0.09289836	0.639651301	frdB
-0.347599819	0.094502899	0.641725258	adk
0.287485025	0.095152229	0.641725258	sdaC
0.287485025	0.095152229	0.641725258	sdaC
-0.327371098	0.095167962	0.641725258	SL1344_1031
0.330528946	0.095181512	0.641725258	flgE
0.433430576	0.095306108	0.641725258	psd
-0.364528748	0.095333907	0.641725258	yieG
0.290777714	0.09589059	0.64307295	cydB
-0.438863701	0.096374317	0.643923214	fabH
0.303787457	0.097705984	0.649844828	lon
-0.331864692	0.098465777	0.649844828	rlpA
-0.359831629	0.099122134	0.649844828	SL1344_0160
-0.405135132	0.099502163	0.649844828	SL1344_4127
-0.261338823	0.099730938	0.649844828	rps16
-0.38886365	0.100017398	0.649844828	rnfC
-0.392087501	0.100577774	0.649844828	ybjU
-0.400891971	0.10072086	0.649844828	SL1344_3553
0.377656898	0.100861751	0.649844828	rpsH
-0.287894816	0.101048528	0.649844828	siiF
0.35485831	0.1017644	0.649844828	pepN
0.398294518	0.103264717	0.649844828	ptr
-0.433824655	0.103525384	0.649844828	pncB
-0.380445706	0.104110912	0.649844828	mukF
-0.386276206	0.104356381	0.649844828	SL1344_3330
-0.365021475	0.104428884	0.649844828	recG
0.350250491	0.10524325	0.649844828	trmD
-0.347249315	0.105411807	0.649844828	SL1344_3287
0.400861374	0.105518808	0.649844828	nuoM
-0.373087065	0.105897839	0.649844828	SL1344_1587
-0.389401652	0.105995273	0.649844828	phoN
-0.396527929	0.106556774	0.649844828	SL1344_1696
-0.398624496	0.107000326	0.649844828	recC
-0.405606311	0.107124953	0.649844828	RUF_125
-0.408128372	0.107163158	0.649844828	yeeF
0.332016161	0.10724921	0.649844828	yidC
0.324880966	0.107819892	0.649844828	rtn
-0.498674899	0.107912856	0.649844828	SL1344_1209
0.399863662	0.108517405	0.649844828	nfnB
-0.287762538	0.108894897	0.649844828	kdtA
0.293603173	0.108932244	0.649844828	rpoD
-0.382159927	0.109100918	0.649844828	spoU
0.39361598	0.109147995	0.649844828	cysC
0.401072248	0.110335578	0.654281048	holA
0.345237988	0.110701261	0.654281048	ybeZ
-0.252408848	0.110981153	0.654281048	virK
-0.325252983	0.11192715	0.657708725	STnc205
0.297728309	0.112378774	0.658218536	cysS
0.403978549	0.113729358	0.663973339	csiE
0.301888939	0.114544293	0.666573885	ompC
-0.353523772	0.11604249	0.673121066	SL1344_3024
-0.336833032	0.116738842	0.67441750600000006	mltA
-0.278820679	0.117316329	0.67441750600000006	repC
-0.278820679	0.117316329	0.67441750600000006	repC
-0.363252217	0.117387526	0.67441750600000006	SL1344_3000
-0.252541295	0.118969712	0.681337655	lppA
-0.303650275	0.119621304	0.682053129	galF
-0.267018878	0.119850799	0.682053129	hupB
0.265572063	0.120790026	0.685236502	prlA
-0.340523809	0.12202828	0.69009096	ksgA
-0.457585053	0.123371286	0.695261937	SL1344_2263
-0.3442921	0.12371346	0.695261937	SL1344_1726
-0.344759329	0.124126296	0.695415644	yabI
0.343616172	0.124680608	0.696358568	nagZ
0.289314031	0.1254246	0.698351784	cysK
-0.405001001	0.126181248	0.69905874	SL1344_1749
-0.34046446	0.126422562	0.69905874	ptsH
0.328381538	0.126714084	0.69905874	hslV
0.309531269	0.127219859	0.699709227	SL1344_1187
-0.300366707	0.128101597	0.700342025	asmA
-0.376286584	0.128111346	0.700342025	idi
-0.272060178	0.129133297	0.701838707	spaR
0.389381069	0.129895093	0.701838707	pmbA
-0.342448792	0.130160012	0.701838707	modC
-0.406500892	0.130232538	0.701838707	STnc2180
-0.329363556	0.130330359	0.701838707	SL1344_2204
0.342628167	0.130896534	0.702789725	pspE
-0.255117884	0.133053982	0.708318244	STnc1150
-0.301593694	0.133300452	0.708318244	SL1344_3671
0.380130983	0.133457905	0.708318244	nikA
0.272134864	0.133496787	0.708318244	gyrI
0.232590933	0.134973667	0.714054237	sigD
-0.326617489	0.13606101	0.717701934	siiD
-0.286930789	0.136724424	0.719098721	ribH
0.353386351	0.138951084	0.728685335	rpsC
-0.323230953	0.141614927	0.740502399	phoB
0.356623675	0.142056942	0.740666831	SL1344_2632
-0.311619248	0.142718232	0.74197029	asnB
-0.427427293	0.144064581	0.745361281	yciA
0.294960849	0.14450048	0.745361281	fabG
-0.236919078	0.144702473	0.745361281	cheM
-0.253963115	0.146145165	0.745361281	SL1344_3128
0.307971544	0.146259815	0.745361281	fadR
-0.362123003	0.146426144	0.745361281	SL1344_3286
-0.341371161	0.146723177	0.745361281	SL1344_3247
0.248226974	0.146990595	0.745361281	nuoG
-0.289618171	0.147089033	0.745361281	mraY
0.284769078	0.148262895	0.749205215	hslU
0.333693734	0.150023657	0.754029172	rplC
0.363246673	0.150053477	0.754029172	STnc1380
0.293591558	0.150508504	0.754214836	glpT
-0.364091602	0.151699894	0.756331044	SL1344_2726
0.282265671	0.151769311	0.756331044	prc
0.362236062	0.152535336	0.758054397	SL1344_3801
-0.318142434	0.153804846	0.759356219	purN
0.321750977	0.154836057	0.759356219	nadR
-0.331102719	0.155210214	0.759356219	hexR
-0.24263475	0.155676521	0.759356219	StyR-44g
0.288974515	0.156102489	0.759356219	SL1344_0725
0.345878064	0.156498501	0.759356219	flgJ
-0.280787473	0.156732114	0.759356219	SL1344_4323
-0.297182683	0.156978457	0.759356219	rseA
-0.335992096	0.157117164	0.759356219	yheS
0.272796714	0.15717976	0.759356219	groES
0.361382911	0.157471875	0.759356219	SL1344_3158
0.303348243	0.158293037	0.759356219	adh
-0.335504756	0.158994784	0.759356219	aat
0.328456615	0.159193266	0.759356219	STnc680
0.288185433	0.159758209	0.759356219	STnc520
0.29202357	0.160008809	0.759356219	SL1344_1751
-0.356235053	0.160326108	0.759356219	SL1344_3270
0.250816267	0.160374013	0.759356219	fusA
0.325347372	0.161407277	0.760574713	lytB
0.37407402	0.162059322	0.760574713	potD
0.27011672	0.162428759	0.760574713	SL1344_2035
-0.351344739	0.162610662	0.760574713	StyR-215a
0.295707079	0.162739379	0.760574713	RdlE
-0.351183098	0.163670304	0.76294891	emrR
0.320380335	0.165191129	0.765605969	flgC
0.254214801	0.165239983	0.765605969	STnc1390
-0.34962476	0.165513486	0.765605969	scsA
-0.317232255	0.166000639	0.76589553	SL1344_0449
-0.30045337	0.167130888	0.768717659	gppA
0.307533838	0.167464545	0.768717659	speA
0.338521584	0.168889577	0.773291364	pipD
-0.298592125	0.169910468	0.775996164	cdsA
0.246333765	0.17070222	0.777141504	htpG
-0.306886383	0.171108108	0.777141504	SL1344_3669
0.323638752	0.171767518	0.777141504	SL1344_0161
-0.361725068	0.171884401	0.777141504	xseA
0.34824717	0.172358466	0.77733668	galE
-0.343705217	0.172865906	0.777681033	aroF
0.328270024	0.173487938	0.77853791	SL1344_1977
0.340809229	0.175298389	0.784710405	SL1344_0005
-0.315690717	0.176201655	0.786061114	norM
0.289803535	0.176823929	0.786061114	ptsG
0.289803535	0.176823929	0.786061114	ptsG
0.279618447	0.176907324	0.786061114	rfbG
0.351951062	0.177964484	0.787748126	yfiA
-0.338446798	0.17816033	0.787748126	dapE
0.336417465	0.178813206	0.788094051	abc
-0.255817873	0.179360425	0.788094051	SL1344_4247
0.352865531	0.179666674	0.788094051	SL1344_3290
0.243658803	0.180068949	0.788094051	miaA
-0.324019225	0.180422862	0.788094051	SraF
0.303709905	0.181868929	0.788853218	flgG
0.214983444	0.181957078	0.788853218	sipD
-0.357695303	0.182964281	0.788853218	SL1344_0810
0.193163172	0.183228076	0.788853218	STnc1160
0.278599204	0.183537625	0.788853218	ompH
-0.281475386	0.183604405	0.788853218	SL1344_3950
0.337667774	0.183657623	0.788853218	hemH
0.251350719	0.184468404	0.789094037	trg
-0.301474752	0.184588517	0.789094037	spiR
0.198020076	0.1869556	0.795653185	sipB
0.335681416	0.187411442	0.795653185	plsC
0.306109733	0.187897216	0.795653185	pflA
0.197539511	0.188152854	0.795653185	SL1344_2993
-0.305806894	0.18832811	0.795653185	nagA
0.20775858	0.190713719	0.803849412	SL1344_1221
-0.298355774	0.191272124	0.804323806	SL1344_2302
-0.365025051	0.192171555	0.806226709	SL1344_3483
0.29271623	0.192879671	0.807320013	SL1344_3293
0.298997935	0.194396629	0.811785922	nrdA
0.237754285	0.196171016	0.817303724	atpA
-0.245548344	0.197942004	0.822127555	SL1344_2208
0.237459396	0.198240292	0.822127555	secD
-0.298912326	0.200885301	0.831185971	STnc4200
0.362144125	0.203823191	0.840851232	recQ
0.286710345	0.205833211	0.840851232	cysD
0.295744148	0.20587225	0.840851232	caiF
-0.262339888	0.206325627	0.840851232	cvrA
0.235667036	0.207380818	0.840851232	eno
-0.267223586	0.207616852	0.840851232	yjeH
-0.265910157	0.209066763	0.840851232	sRNA21
-0.258931683	0.209839858	0.840851232	rpmH
-0.304722936	0.20995819	0.840851232	SL1344_1534
0.297654132	0.210230931	0.840851232	fruR
0.235259945	0.210554294	0.840851232	samB2
0.207095696	0.210625339	0.840851232	glpK
0.329181665	0.210690376	0.840851232	ybiH
-0.315125029	0.211092398	0.840851232	ntpA
-0.259710703	0.2111636	0.840851232	SL1344_0956
-0.221875293	0.211247897	0.840851232	hilD
0.277301134	0.212139655	0.840851232	pgm
0.242266879	0.212620331	0.840851232	atpG
-0.282371701	0.214286087	0.840851232	SL1344_1840
0.258118571	0.214380002	0.840851232	rpsA
0.280461696	0.214407598	0.840851232	rpmC
-0.279549648	0.214660122	0.840851232	cbiP
0.277625757	0.214910748	0.840851232	nuoH
0.314483518	0.21511288	0.840851232	rimM
-0.240296985	0.215397131	0.840851232	typA
0.2991224	0.215827582	0.840851232	sbp
0.321401174	0.216042492	0.840851232	rfbV
-0.279423663	0.216272157	0.840851232	SL1344_2459
0.276094422	0.21725352	0.842850214	cytR
0.324538999	0.217774968	0.843060177	SL1344_2375
-0.254426018	0.218584136	0.844215608	SL1344_3180
-0.299114971	0.219250152	0.844215608	SL1344_2047
-0.256625665	0.219477339	0.844215608	bacA
-0.234340798	0.220199942	0.844226122	SL1344_2139
-0.31391654	0.220416022	0.844226122	SL1344_1480
0.319458424	0.221252121	0.845633107	rplV
-0.253962043	0.222126533	0.847180264	SL1344_3126
-0.287618395	0.223036549	0.848856403	SL1344_3207
0.285121444	0.223594879	0.849189816	nhaR
0.271319037	0.22439085	0.850422465	rfbF
-0.298936443	0.225145264	0.851492781	SL1344_0339
-0.252876026	0.226321056	0.854148923	StyR-277
0.204061219	0.227505065	0.856824921	atpI
0.258715032	0.229245871	0.859537418	SL1344_3416
0.217930861	0.229503326	0.859537418	smg
-0.294591832	0.229738669	0.859537418	iap
-0.289924287	0.230131138	0.859537418	StyR-55
0.243146544	0.23169108	0.861158581	traG
0.243146544	0.23169108	0.861158581	traG
0.248428284	0.232076614	0.861158581	cybC
-0.266392982	0.232669167	0.861158581	yfhD
0.27810592	0.232849876	0.861158581	SL1344_0429
0.33609661	0.233938703	0.861158581	SL1344_3500
-0.291661447	0.235299123	0.861158581	hybG
-0.26317907	0.235666285	0.861158581	cpsB2
0.215143735	0.235720279	0.861158581	slyB
0.2178856	0.235725619	0.861158581	mdh
-0.2633541	0.237302881	0.861158581	ybiT
-0.284263098	0.237555586	0.861158581	yiiP
-0.298825535	0.237645359	0.861158581	nrfE
0.303755259	0.237864249	0.861158581	gptB
0.26319318	0.238114849	0.861158581	galM
-0.326881109	0.239542565	0.861158581	SL1344_0871
0.25149322	0.239749002	0.861158581	hemC
0.253279779	0.240882339	0.861158581	cysW
-0.307885789	0.242024743	0.861158581	rnt
-0.230971319	0.242188465	0.861158581	invH
0.214204156	0.243084541	0.861158581	flgK
0.249782989	0.243230963	0.861158581	hflC
0.299450011	0.244381833	0.861158581	rplB
0.244654521	0.244427771	0.861158581	proS
0.249475745	0.244617722	0.861158581	SL1344_1647
0.26918327	0.244930037	0.861158581	glnE
0.26728866	0.245770696	0.861158581	fba
-0.309865036	0.245873764	0.861158581	rfc
0.251671676	0.245889626	0.861158581	cyoC
0.177069003	0.245997033	0.861158581	SL1344_2719
-0.178444436	0.246131299	0.861158581	CsrB
0.265713032	0.246766629	0.861158581	SL1344_4205
-0.270483664	0.246920207	0.861158581	STnc1400
0.260856622	0.247018184	0.861158581	pez
-0.261101219	0.247374864	0.861158581	basS
-0.246650013	0.247738603	0.861158581	nuoA
0.238482293	0.247750168	0.861158581	atpF
-0.27608297	0.249605568	0.864811739	SL1344_1439
-0.25223985	0.250091803	0.864811739	rffD
-0.269414592	0.250564773	0.864811739	STnc290
0.221360773	0.250718703	0.864811739	ybgF
0.211690378	0.251856347	0.865346655	acrB
0.24574771	0.252210859	0.865346655	tsx
0.174664478	0.25242649	0.865346655	STnc1680
0.275473546	0.253289978	0.865346655	rfaE
0.181000629	0.253719017	0.865346655	sucA
0.244322276	0.254654846	0.865346655	rpmJ
0.29001113	0.254990672	0.865346655	oppC
-0.288896353	0.255389859	0.865346655	SL1344_0962
0.264098254	0.257549836	0.865346655	murF
0.247676451	0.257564825	0.865346655	pgk
-0.280900399	0.257941863	0.865346655	fumC
0.306314105	0.25870967	0.865346655	yghB
-0.232994612	0.258796353	0.865346655	pagP
-0.226759995	0.259667802	0.865346655	sufI
-0.241160983	0.260126231	0.865346655	glpE
-0.289477219	0.260581708	0.865346655	SL1344_3948
0.260400814	0.260865106	0.865346655	rplO
0.227129339	0.262499945	0.865346655	SL1344_3060
0.188078468	0.263320096	0.865346655	fliF
0.222570142	0.263369363	0.865346655	flgA
0.238773756	0.263444094	0.865346655	SL1344_0883
-0.284664617	0.263540112	0.865346655	STnc640
-0.238931583	0.264758202	0.865346655	mltD
0.224993684	0.264917753	0.865346655	SL1344_3129
0.185498186	0.265902504	0.865346655	phoP
-0.254068312	0.265910505	0.865346655	aroQ
-0.171373204	0.265941625	0.865346655	iagB
-0.210966925	0.266315117	0.865346655	SL1344_3341
-0.248510477	0.266424626	0.865346655	mrcA
0.270792952	0.266428951	0.865346655	glgP
0.224833775	0.266721607	0.865346655	pitA
0.251282015	0.267617809	0.865346655	rffA
-0.23068411	0.267776559	0.865346655	SL1344_1177
-0.241209491	0.268007448	0.865346655	SL1344_2963
0.22881725	0.2682537	0.865346655	rplA
0.280301703	0.268426773	0.865346655	SL1344_4419
-0.245383066	0.269095906	0.865346655	pagC
0.257967093	0.269667901	0.865346655	fabB
-0.275235571	0.270430433	0.865346655	SL1344_3176
-0.207538269	0.270537604	0.865346655	rstA
0.189276465	0.27089051	0.865346655	traS
0.189276465	0.27089051	0.865346655	traS
-0.256956606	0.271161204	0.865346655	glpX
-0.281031888	0.27158442	0.865346655	SL1344_1024
